Feature Name,Target,Diameter,Center Latitude,Center Longitude,Coordinate System,Approval Status,Approval Date,Origin
Saltu,Ganymede,40.00,-14.15,352.77,"Planetographic, +West, 0 - 360",Approved,2006,Babylonian goddess of discord and hostility.
Sapas,Ganymede,56.00,57.45,33.99,"Planetographic, +West, 0 - 360",Approved,1979,Assyro-Babylonian; torch of the gods.
Sati,Ganymede,95.00,30.84,12.80,"Planetographic, +West, 0 - 360",Approved,1988,"Wife of Khnum, Egyptian god of the Cataracts."
Sebek,Ganymede,61.00,61.25,356.78,"Planetographic, +West, 0 - 360",Approved,1979,Egyptian crocodile god.
Seima,Ganymede,38.00,17.09,215.97,"Planetographic, +West, 0 - 360",Approved,1985,Mother goddess of the Arameans.
Seker,Ganymede,103.00,-39.16,345.38,"Planetographic, +West, 0 - 360",Approved,1988,Egyptian god of the dead at Memphis.
Selket,Ganymede,168.00,15.03,105.70,"Planetographic, +West, 0 - 360",Approved,1985,Tutelary goddess who guarded intestines of the dead.
Serapis,Ganymede,169.00,-12.40,44.11,"Planetographic, +West, 0 - 360",Approved,1997,Egyptian healing god.
Shu,Ganymede,44.00,43.16,356.84,"Planetographic, +West, 0 - 360",Approved,1988,Egyptian god of air.
Shuruppak Sulcus,Ganymede,2730.00,-19.62,231.75,"Planetographic, +West, 0 - 360",Approved,2000,Assyro-Babylonian town on the banks of the Euphrates River where the gods planned the great flood.
Sicyon Sulcus,Ganymede,2125.00,33.70,15.30,"Planetographic, +West, 0 - 360",Approved,1979,Greek; where Ganymede and Hebe were worshipped as rain-givers.
Sin,Ganymede,19.00,52.94,357.46,"Planetographic, +West, 0 - 360",Approved,1979,Babylonian moon god.
Sippar Sulcus,Ganymede,3260.00,-19.90,170.20,"Planetographic, +West, 0 - 360",Approved,1985,Ancient Babylonian town.
Siwah Facula,Ganymede,220.00,7.00,143.00,"Planetographic, +West, 0 - 360",Approved,1985,Oasis oracle of Zeus-Ammon; visited by Alexander.
Tammuz,Ganymede,51.00,13.45,230.76,"Planetographic, +West, 0 - 360",Approved,1985,Akkadian youthful god of vegetation; Ishtar's son.
Tanit,Ganymede,26.00,57.49,36.62,"Planetographic, +West, 0 - 360",Approved,1979,Assyro-Babylonian; Carthaginian goddess.
Tashmetum,Ganymede,135.00,-39.72,264.54,"Planetographic, +West, 0 - 360",Approved,2000,Assyro-Babylonian goddess who invented writing with her husband Nabu.
Ta-urt,Ganymede,94.00,27.66,304.20,"Planetographic, +West, 0 - 360",Approved,1988,Egyptian childbirth goddess.
Terah Catena,Ganymede,283.00,7.10,277.60,"Planetographic, +West, 0 - 360",Approved,2000,Phoenician moon god who battled with Keret in Negeb.
Teshub,Ganymede,188.00,-68.30,279.28,"Planetographic, +West, 0 - 360",Approved,1994,Elamite god of the tempest.
Tettu Facula,Ganymede,189.00,37.60,160.96,"Planetographic, +West, 0 - 360",Approved,1985,Egyptian town where Hatmenit and Osiris were worshipped.
Thebes Facula,Ganymede,360.00,7.10,202.20,"Planetographic, +West, 0 - 360",Approved,1985,Ancient capitol of upper kingdom.
Thoth,Ganymede,102.00,-43.22,147.25,"Planetographic, +West, 0 - 360",Approved,1985,Egyptian moon god; invented all arts and sciences.
Tiamat Sulcus,Ganymede,1330.00,4.14,209.10,"Planetographic, +West, 0 - 360",Approved,1979,Assyro-Babylonian; tumultuous sea from which everything was generated.
Tros,Ganymede,94.00,11.14,27.26,"Planetographic, +West, 0 - 360",Approved,1979,Greek; father of Ganymede.
Umma Sulcus,Ganymede,1270.00,4.10,249.50,"Planetographic, +West, 0 - 360",Approved,2000,Sumerian town.
Upuant,Ganymede,17.00,46.40,319.54,"Planetographic, +West, 0 - 360",Approved,1997,"Jackal-headed warrior god, god of the dead."
Ur Sulcus,Ganymede,1145.00,49.50,177.50,"Planetographic, +West, 0 - 360",Approved,1985,Ancient Sumerian seat of moon worship.
Uruk Sulcus,Ganymede,2200.00,3.40,160.00,"Planetographic, +West, 0 - 360",Approved,1979,Babylonian city ruled by Gilgamesh.
[Wadjet],Ganymede,100.00,-53.80,268.90,"Planetographic, +West, 0 - 360",Dropped,2000,Egyptian cobra goddess. Same crater as Nut.
We-ila,Ganymede,36.00,-12.36,290.35,"Planetographic, +West, 0 - 360",Approved,2000,Akkadian god from whom the hero Atra-hasis was created.
